id,restaurant_id,name,description,category,base_type,meat_type,size_or_variant,price_pln,spicy,is_vege,image_url,available,created_at
8126ad25-9bc9-4010-b205-5cfb9dea25a8,70842598-1632-43f6-8015-706d5adf182f,Sajgonki z ryżem i surówką,"3 sztuki, z ryżem i surówką",Sajgonki,,,,13.00,false,false,,true,2025-10-29 21:37:37.603105+00
81bdaca4-c866-43ca-904f-50705f67fe81,70842598-1632-43f6-8015-706d5adf182f,Krewetki z warzywami,Z ryżem i surówką,Krewetki,,,,24.00,false,false,,true,2025-10-29 21:37:37.603105+00
82a2ad16-e3e2-4f39-8dde-671ba334d549,af8448ef-974b-46c8-a4ae-b04b8dc7c9f8,Carbonara a'la Hubertus,"Makaron carbonara z boczkiem, śmietaną",Makaron,makaron,mięsne,,38.00,false,false,,true,2025-10-26 13:33:48.117972+00
832e3395-cd6f-4119-acc0-68290e6ba693,fc844513-2869-4f42-b04f-c21e1e4cceb7,Baklava,,Przekąski,,,,6.00,false,false,,true,2025-10-29 22:45:07.983357+00
83f38f19-0286-46bf-9c47-833f0033b2ce,bd9f2244-7618-4071-aa96-52616a7b4c70,Cappuccino,Delikatne cappuccino z aksamitną pianką mleczną,Napój,napój,,,10.50,false,true,,true,2025-10-26 11:55:50.750805+00
8492d2e8-fc47-4381-af16-8ef4e1aa7b04,83566974-1017-4408-90ee-2571ccc06978,Panna Cotta,Z musem truskawkowym,Deser,,,,15.00,false,false,,true,2025-10-29 14:53:24.683083+00
85835718-0788-4ed8-8395-c8c2d193b3bd,af8448ef-974b-46c8-a4ae-b04b8dc7c9f8,Kotlety czopskie,"Kotlety wieprzowe z cebulą, frytki, surówka",Zestaw,zestaw,mięsne,,54.00,false,false,,true,2025-10-26 13:27:08.692813+00
872ea3b9-95ab-41bf-80d5-2600c9235adb,70842598-1632-43f6-8015-706d5adf182f,Kalmary chrupiące Curry,Z ryżem i surówką,Kalmary,,,,25.00,false,false,,true,2025-10-29 21:37:37.603105+00
874d0582-4920-4a27-a2d7-bbb7523a737b,70842598-1632-43f6-8015-706d5adf182f,Kaczka po chińsku,Z ryżem i surówką,Kaczka,,,,23.00,false,false,,true,2025-10-29 21:37:37.603105+00
87c5cd30-6264-4363-84a7-f6305a76f58f,8b00b05e-72f7-4a5f-b50c-5630a75d6312,Fanta,"Napój gazowany o smaku pomarańczowym, 0.5 l",Napoje,napój,,0.5 l,10.00,false,true,,true,2025-10-25 02:07:59.866597+00
8807ef42-1964-455b-9a03-34ac177806e5,bd9f2244-7618-4071-aa96-52616a7b4c70,Zapiekaniec,"Makaron z sosem bolognese, pieczarki przesmażone, zapieczone serem",Obiad,obiad,mięsne,,28.50,false,false,,true,2025-10-26 11:51:52.659681+00
88a82f7d-2b8b-4302-a703-9d02eab69612,70842598-1632-43f6-8015-706d5adf182f,Kurczak w cieście pikantny,Z ryżem i surówką,Kurczak w cieście,,,,16.00,false,false,,true,2025-10-29 21:37:37.603105+00
88bdda15-6f90-4139-80c2-6243161abddb,70842598-1632-43f6-8015-706d5adf182f,Kurczak słodko-kwaśny,Z ryżem i surówką,Kurczak,,,,16.00,false,false,,true,2025-10-29 21:37:37.603105+00
